year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2012,41355.834,39523.965,39554.502,40133.535,41449.98,42034.512,42271.749,42600.636,43370.457,43343.664,43315.389,44614.284,45647.862,45410.469,45544.668,45819.267,46546.734,47537.88,48392.37,49187.814,50501.217,51479.571,51656.904,49992.618,48993.828,48490.572,48841.299,49341.201,47684.169,48467.484,48483.669,48145.812,48922.536,46114.458,45143.319,44652.894,43087.278,44923.242,43547.595,44504.265,47832.681,52167.57,53426.178,51076.038,50009.505,50900.616,52128.96,56206.098,58264.83,58890.507,59703.072,61278.867,61730.76,60424.611,60760.713,60388.38,58273.02,58155.474,56296.344,54636.27,53050.53,51236.094,50049.363,49324.002,49498.995,52985.205,37734.606,37272.768,36775.089,38255.763,32839.365,29657.472,27803.1,26454.285,25228.827,23116.275,21981.96,20972.523,18794.646,18155.046,17323.956,16431.207,15525.51,13945.581,12885.405,11604.411,10110.828,8912.553,7608.627,6343.311,5280.21,4292.457,3216.603,2283.372,1748.955,1199.133,824.148,561.171,363.636,228.033,318.903
2013,41372.643,41363.127,39555.438,39588.588,40165.554,41479.191,42061.188,42296.28,42623.568,43391.244,43361.37,43329.468,44624.268,45654.141,45415.266,45550.908,45830.811,46566.351,47566.584,48428.913,49226.385,50538.384,51516.66,51695.241,50031.033,49029.396,48522.396,48867.741,49362.534,47703.747,48482.304,48492.639,48148.542,48918.402,46108.725,45132.126,44634.993,43064.307,44888.649,43506.879,44451.888,47761.779,52074.36,53315.379,50956.269,49877.88,50750.973,51957.789,55999.554,58027.632,58626.048,59409.987,60952.164,61373.91,60047.676,60353.397,59954.076,57824.598,57676.827,55799.367,54116.595,52506.09,50669.385,49450.596,48685.923,48806.121,52181.493,37114.584,36608.208,36063.261,37449.867,32085.222,28912.221,27036.672,25653.537,24390.093,22271.184,21097.401,20042.607,17875.104,17173.533,16288.701,15344.628,14384.916,12804.324,11709.633,10425.987,8971.677,7800.858,6560.502,5380.596,4399.98,3508.713,2575.287,1787.721,1337.076,893.841,598.182,396.006,249.21,349.206
2014,41373.15,41381.769,41395.575,39591.045,39622.05,40196.208,41507.076,42086.85,42320.226,42645.369,43409.769,43376.346,43340.544,44631.639,45659.835,45422.637,45564.207,45852.885,46598.253,47606.871,48471.735,49268.427,50580.348,51559.092,51735.645,50069.214,49064.34,48552.816,48893.247,49383.867,47723.208,48494.94,48498.723,48148.815,48912.279,46099.365,45116.565,44612.841,43035.759,44848.635,43459.494,44391.36,47682.102,51970.971,53193.933,50826.243,49736.232,50589.318,51772.422,55777.527,57773.274,58344.702,59100.249,60607.521,60999.12,59652.957,59927.517,59501.169,57357.066,57176.574,55277.781,53570.361,51934.428,50072.373,48820.395,48014.187,48075.924,51334.647,36461.256,35908.314,35312.667,36598.926,31287.204,28123.29,26226.369,24808.758,23506.704,21383.076,20170.098,19070.181,16916.289,16154.775,15219.282,14225.25,13215.891,11643.918,10528.44,9258.99,7859.709,6732.882,5570.838,4488.9,3601.182,2812.953,2019.264,1368.861,998.322,649.896,422.877,271.908,382.707
2015,41351.7,41384.304,41416.05,41432.313,39625.872,39654.03,40225.653,41534.064,42111.849,42342.924,42664.752,43425.486,43388.046,43348.773,44638.464,45668.493,45437.652,45588.504,45887.985,46642.596,47653.944,48518.379,49315.734,50627.733,51603.552,51775.776,50106.654,49097.763,48582.456,48918.87,49405.083,47740.407,48504.339,48501.96,48146.943,48902.412,46085.793,45096.87,44584.995,43002.063,44802.186,43404.153,44322.096,47592.558,51857.13,53062.035,50686.155,49582.689,50413.935,51572.703,55538.808,57502.341,58047.093,58773,60244.782,60605.805,59239.83,59482.917,59028.645,56868.123,56650.971,54728.973,52996.398,51331.995,49443.732,48156.381,47305.752,47306.025,50441.391,35772.438,35169.459,34519.29,35698.143,30442.23,27288.69,25371.021,23918.661,22577.802,20451.366,19199.661,18055.323,15920.229,15101.697,14116.791,13077.168,12026.391,10477.233,9357.621,8118.786,6790.368,5723.406,4653.051,3678.597,2890.992,2208.843,1548.573,1023.789,727.077,460.317,290.94,419.328
2016,41304.627,41364.921,41420.379,41454.309,41468.193,39659.1,39684.684,40253.85,41560.077,42135.483,42363.126,42681.249,43438.122,43397.133,43356.573,44648.526,45685.068,45464.328,45626.763,45936.189,46694.271,47705.19,48570.015,49367.838,50676.795,51647.661,51815.127,50142.573,49130.328,48611.901,48944.142,49423.881,47754.018,48510.735,48502.662,48141.015,48887.904,46067.658,45071.403,44551.806,42961.776,44747.352,43340.271,44243.784,47493.42,51733.071,52919.607,50533.938,49415.769,50224.824,51357.735,55284.489,57215.808,57732.48,58428.045,59863.908,60194.004,58808.334,59018.856,58533.93,56354.064,56097.912,54152.046,52391.274,50696.958,48780.693,47455.512,46558.2,46493.538,49499.112,35045.205,34388.328,33678.879,34743.774,29547.804,26407.212,24469.224,22982.037,21602.646,19475.664,18185.895,17000.139,14889.81,14015.313,12985.323,11908.104,10829.442,9319.752,8212.581,7021.131,5778.435,4786.002,3817.905,2957.136,2273.388,1696.578,1160.094,746.967,515.892,317.265,455.715
2017,41227.68,41319.72,41402.79,41460.549,41491.788,41502.435,39690.924,39714.207,40281.423,41585.115,42156.972,42380.598,42694.626,43448.067,43406.025,43368.117,44666.934,45713.733,45505.2,45678.282,45991.92,46749.963,47761.389,48626.76,49422.087,50725.701,51690.873,51852.918,50177.634,49162.698,48640.995,48966.879,49438.896,47764.47,48514.713,48499.737,48130.953,48869.145,46043.907,45040.476,44512.065,42913.611,44683.899,43267.185,44156.385,47385.039,51598.677,52764.738,50368.227,49235.199,50020.659,51128.103,55015.038,56912.388,57400.668,58065.696,59464.626,59763.366,58357.455,58532.76,58013.904,55813.095,55516.266,53543.568,51753.039,50026.821,48080.331,46715.37,45768.723,45635.811,48503.325,34275.423,33560.007,32787.729,33733.167,28602.639,25477.374,23519.769,21998.067,20580.69,18455.424,17130.906,15907.827,13826.241,12899.718,11832.366,10730.811,9640.878,8186.646,7109.115,5981.157,4837.599,3931.863,3073.239,2328.768,1748.877,1273.077,847.899,531.024,356.226,496.743
2018,41115.204,41244.801,41359.422,41444.481,41499.627,41527.473,41535.156,39721.539,39742.794,40307.475,41607.423,42175.224,42394.716,42705.312,43457.661,43418.622,43388.67,44698.173,45757.218,45560.073,45737.757,46052.058,46810.803,47822.541,48685.299,49475.829,50773.632,51732.525,51889.539,50212.188,49194.678,48667.554,48985.755,49450.596,47772.309,48514.752,48492.093,48116.055,48844.341,46014.54,45002.88,44464.095,42856.905,44611.125,43185.48,44060.445,47267.298,51452.505,52596.024,50188.515,49039.692,49802.064,50884.236,54729.207,56591.925,57051.618,57685.719,59046.936,59313.189,57885.204,58021.509,57466.032,55243.461,54902.094,52900.926,51078.612,49318.386,47340.15,45933.186,44934.63,44728.632,47448.687,33458.49,32680.947,31843.305,32664.528,27604.902,24497.733,22521.447,20966.01,19511.037,17392.791,16038.087,14779.557,12733.266,11762.166,10670.4,9560.733,8476.26,7093.515,6062.511,5013.06,3979.17,3169.179,2423.655,1794.195,1314.456,932.061,603.876,367.419,548.964
2019,40964.82,41134.275,41286.18,41402.634,41484.924,41536.56,41561.364,41566.629,39751.14,39769.782,40330.719,41626.416,42190.083,42406.143,42715.998,43471.584,43440.813,43422.6,44744.739,45814.782,45622.941,45801.678,46117.266,46876.44,47885.409,48743.526,49528.674,50819.886,51772.89,51925.887,50246.352,49223.889,48690.096,49001.16,49459.605,47776.209,48510.267,48480.003,48095.58,48813.921,45978.543,44957.133,44407.311,42791.268,44529.732,43095.429,43955.691,47138.559,51292.683,52412.958,49994.256,48830.613,49569.975,50625.627,54427.425,56254.614,56685.135,57287.724,58609.824,58841.172,57387.876,57482.802,56889.222,54641.73,54252.978,52221.429,50365.302,48569.313,46557.537,45106.308,44051.904,43767.087,46329.27,32591.052,31748.964,30844.125,31535.829,26553.072,23467.08,21473.751,19884.891,18395.949,16291.119,14908.569,13619.385,11618.022,10614.825,9514.518,8413.119,7351.539,6055.53,5087.004,4128.579,3211.572,2502.864,1870.206,1350.648,964.002,665.028,418.626,590.733
2020,40772.082,40986.036,41177.487,41330.952,41444.481,41523.339,41571.777,41593.89,41597.049,39779.025,39793.884,40350.609,41642.016,42202.407,42417.765,42730.974,43495.179,43476.771,43472.637,44806.32,45880.965,45690.528,45870.669,46186.92,46943.52,47947.692,48800.271,49579.53,50864.736,51812.943,51961.923,50277.942,49249.122,48708.972,49013.718,49464.519,47775.507,48500.985,48461.79,48069.177,48776.559,45934.2,44902.572,44341.518,42717.012,44439.525,42996.876,43840.719,46997.184,51118.899,52214.721,49786.035,48608.118,49323.378,50352.081,54109.302,55900.065,56301.141,56871.36,58151.535,58344.156,56863.521,56914.845,56279.106,54004.899,53565.72,51501.918,49610.262,47776.443,45729.528,44230.485,43115.358,42745.56,45140.589,31670.769,30762.225,29788.2,30345.12,25445.667,22384.596,20375.199,18756.855,17239.17,15151.773,13746.33,12434.682,10492.248,9472.476,8379.774,7303.725,6282.393,5086.887,4194.606,3336.567,2539.953,1934.205,1410.201,992.199,689.013,461.877,651.729
2021,40532.505,40795.287,41031.081,41224.209,41374.398,41484.144,41559.726,41605.395,41625.324,41625.714,39803.946,39814.71,40367.457,41655.276,42214.77,42433.95,42756.48,43533.438,43529.499,43538.118,44876.754,45951.906,45763.068,45944.106,46258.368,47010.405,48008.844,48855.183,49628.904,50908.962,51852.411,51995.385,50305.476,49270.611,48724.884,49022.142,49464.753,47770.164,48486.009,48438.039,48036.066,48730.461,45880.848,44838.846,44266.989,42634.566,44340.738,42888.222,43713.93,46842.9,50930.1,52001.859,49564.047,48371.349,49062.156,50063.325,53774.526,55528.083,55898.7,56433.78,57668.403,57819.84,56310.345,56313.66,55632.759,53330.316,52837.473,50739.468,48810.216,46936.695,44851.521,43300.179,42119.415,41659.644,43878.783,30695.613,29718.546,28673.307,29090.334,24281.4,21247.98,19227.507,17585.568,16041.753,13978.497,12558.39,11237.577,9370.179,8349.666,7281.417,6247.683,5283.174,4199.403,3394.209,2642.406,1965.717,1460.667,1037.673,710.346,479.388,720.096
